OBJECTID,CREEK_NAME,MUNI,COUNTY,WATERSHED,SUBSHED,LABEL,SEGMENT_ID,REACH_ID,INF1,INF2,INF3,INF4,INF_ID,SOURCE,GNIS_NAME,GNIS_ID,MON_ID,RESTORATION_ID,ORDER_SHREVE,ORDER_STRAHLER,UREACHID,FACILITYID,EDITOR,EDIT_DATE,NOTES,RIVERMILE,Shape__Area,Shape__Length
1,Haines-Dittingers Creek,Upper Gwynedd Township,Montgomery,Wissahickon Creek,Haines-Dittingers Creek,,WSHD01,WSHD02,Impoundment,,,,,,,,WS1882,,,,,,,, ,0,3317.62109375,236.63218258017
2,Haines-Dittingers Creek,Upper Gwynedd Township,Montgomery,Wissahickon Creek,Haines-Dittingers Creek,,WSHD01,WSHD02,Impoundment,,,,,,,,WS1882,,,,,,,, ,0,2942.50390625,324.310270127176
3,Trewellyn Creek,Montgomery TWP,Montgomery,Wissahickon Creek,Trewellyn Creek,,WSTW03,WSTW02,Culverted,,,,WScul174,,,,WSTC011,,,,,,,, ,0,126.3671875,76.5753014468755
4,"Trewellyn Creek, unnamed trib (A)",Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,WSTWA01,WSTWA02,Culverted,,,,WScul178,,,,WSTC011,,,,,,,, ,0,104.359375,76.5670942439695
5,Trewellyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,WSTW03,WSTW04,Culverted,,,,WScul176,,,,WSTC011,,,,,,,, ,0,48.53125,36.2466499993269
6,Trewellyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,U,U,,,,,,,,,WSTC011,,,,,,,, ,0,255.7265625,288.882659325959
7,Trewellyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,WSTW07,WSTW06,Culverted,,,,WScul179,,,,WSTC011,,,,,,,, ,0,75.12109375,40.7342108350954
8,"Trewellyn Creek, unnamed trib (D)",Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,WSTWD03,WSTWD02,Culverted,,,,WScul170,,,,WSTC011,,,,,,,, ,0,81.3125,39.3077434430694
9,"Trewellyn Creek, unnamed trib (E)",Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,U,U,,,,,,,,,WSTC011,,,,,,,, ,0,190.453125,218.401939739894
10,"Trewellyn Creek, unnamed trib (E)",Lower Gwynedd,Montgomery,Wissahickon Creek,Trewellyn Creek,,U,U,Culverted,,,,WScul634,,,,WSTC011,,,,,,,, ,0,42.7578125,77.5586397974826
